name	city	id_staz	id_reg	lat	lon	name_raw
Abano Terme		S05700	12	45.355199	11.811533	ABANO TERME
Abbadia Lariana		S01416	1	45.895864	9.335175	ABBADIA LARIANA
Abbasanta		S12873	20	40.128801	8.817733	ABBASANTA
Abbiate Guazzone		N00018				ABBIATE GUAZZONE
Abbiategrasso		S01062	1	45.400631	8.921305	ABBIATEGRASSO
Acate		S12409	14	36.996592	14.42545	ACATE
Acciano		S07423	19	42.175994	13.711345	ACCIANO
Acerra		S09215	18	40.939066	14.372243	ACERRA
Acireale		S12328	14	37.600514	15.163697	ACIREALE
Acqua Acetosa		S08715	5	41.794294	12.616449	ACQUA ACETOSA
Acquafredda		S11722	15	40.035527	15.671846	ACQUAFREDDA
Acquamela		S09798				ACQUAMELA
Acquanegra Cremonese		S01913	1	45.172102	9.888456	ACQUANEGRA CREMONESE
Acquappesa		S11736	17	39.48648	15.955992	ACQUAPPESA
Acquaviva		S12209	14	37.570258	13.674927	ACQUAVIVA
Acquaviva delle Fonti		S11504	16	40.892806	16.839826	ACQUAVIVA DELLE FONTI
Acquedolci-S. Fratello		S12026	14	38.058459	14.587597	ACQUEDOLCI-S. FRATELLO
Acqui Terme		S00867	3	44.67407	8.474482	ACQUI TERME
Acri Bisignano Luzzi		S11907	17	39.441389	16.245177	ACRI BISIGNANO LUZZI
Adria		S05420	12	45.06058	12.054228	ADRIA
Africo Nuovo		S11872	17	38.053759	16.144283	AFRICO NUOVO
Agliano Castelnuovo Calcea		S00804	3	44.786108	8.267723	AGLIANO CASTELNUOVO CALCEA
Agrigento Bassa		S12213	14	37.319148	13.588094	AGRIGENTO BASSA
Agrigento Centrale		S12216	14	37.309051	13.584412	AGRIGENTO CENTRALE
Agropoli Castellabate		S11705	18	40.351521	15.002053	AGROPOLI CASTELLABATE
Aielli		S08550				AIELLI
Airasca		S00514	3	44.928093	7.483536	AIRASCA
Airole		S04481	2	43.870494	7.552757	AIROLE
Airuno		S01515	1	45.754086	9.422066	AIRUNO
Ala		S02049	9	45.760087	10.996775	ALA
Alanno		S07708	19	42.287185	14.019595	ALANNO
Alano Fener Valdobbiadene		S02566	12	45.90229	11.944546	ALANO FENER VALDOBBIADENE
Alassio		S04515	2	44.007889	8.17112	ALASSIO
Alba		S00825	3	44.697713	8.030629	ALBA
Alba Adriatica Nereto Contr.		S07800	19	42.83438	13.91733	ALBA ADRIATICA NERETO CONTR.
Albacina		S07207	11	43.345686	12.986501	ALBACINA
Albairate Vermezzo		S01059				ALBAIRATE VERMEZZO
Albano di Lucania		S11453	15	40.574707	16.021247	ALBANO DI LUCANIA
Albano Laziale		S08704	5	41.72632	12.658056	ALBANO LAZIALE
Albano S. Alessandro		S01534	1	45.682744	9.768027	ALBANO S. ALESSANDRO
Albanova		S09004	18	40.996117	14.128596	ALBANOVA
Albaredo		S02538	12	45.670265	12.015104	ALBAREDO
Albate Camerlata		S01310	1	45.777371	9.073461	ALBATE CAMERLATA
Albate-Trecallo		S01450	1	45.777391	9.095752	ALBATE-TRECALLO
Albenga		S04516	2	44.04722	8.221663	ALBENGA
Alberese		S08001	13	42.634158	11.1352	ALBERESE
Albergo		S06067				ALBERGO
Albinia		S08003	13	42.502165	11.21134	ALBINIA
Albisola		S04529	2	44.33469	8.512092	ALBISOLA
Albizzate Solbiate Arno		S01209	1	45.724117	8.80621	ALBIZZATE SOLBIATE ARNO
Albonese		S00033	1	45.297785	8.714601	ALBONESE
Albuzzano		S01863	1	45.172504	9.261624	ALBUZZANO
Alcamo Diramazione		S12150	14	37.978894	12.915916	ALCAMO DIRAMAZIONE
Alcantara		S12320	14	37.82145	15.251158	ALCANTARA
Alessandria		S00470	3	44.909091	8.606498	ALESSANDRIA
Alfedena-Scontrone		S08908	19	41.738222	14.044662	ALFEDENA-SCONTRONE
Alfonsine		S05808	8	44.512364	12.039155	ALFONSINE
Alice Belcolle		S00809	3	44.722636	8.440076	ALICE BELCOLLE
Alife		S09020				ALIFE
Ali' Terme		S12310	14	38.013952	15.435184	ALI' TERME
Allerona-Castel Viscardo		S08202	6	42.78502	12.035236	ALLERONA-CASTEL VISCARDO
Alpignano		S00216	3	45.091077	7.523745	ALPIGNANO
Altamura		S11307	16	40.837666	16.551739	ALTAMURA
Altare		S04810	2	44.336169	8.332753	ALTARE
Altavilla Irpina		S09511	18	41.015265	14.782833	ALTAVILLA IRPINA
Altavilla M.		S12011	14	38.048392	13.554421	ALTAVILLA M.
Altavilla Tavernelle		S02444	12	45.511805	11.454702	ALTAVILLA TAVERNELLE
Altopascio		S06407	13	43.817418	10.672754	ALTOPASCIO
Alviano		S08206	6	42.591917	12.259583	ALVIANO
Alvignno		S09023				ALVIGNNO
Amantea		S11744	17	39.134353	16.068448	AMANTEA
Ambivere Mapello		S01527	1	45.722163	9.550444	AMBIVERE MAPELLO
Amendola		S11051	16	41.518025	15.732569	AMENDOLA
Amendolara Oriolo		S11807	17	39.933731	16.60308	AMENDOLARA ORIOLO
Amorosi Melizzano		S09306	18	41.173509	14.470759	AMOROSI MELIZZANO
Anagni-Fiuggi		S08658	5	41.71037	13.09597	ANAGNI-FIUGGI
Ancona	Ancona	S07113	11	43.607734	13.497665	ANCONA
Ancona Marittima	Ancona	S07116	11	43.619445	13.50911	ANCONA MARITTIMA
Ancona Stadio	Ancona	S07114				ANCONA STADIO
Ancona Torrette	Ancona	S07015	11	43.609936	13.455777	ANCONA TORRETTE
Anconetta		S02141	12	45.565249	11.567865	ANCONETTA
Andora		S04513	2	43.952003	8.139319	ANDORA
Anfiteatro		S09031				ANFITEATRO
Angri		S09812	18	40.746404	14.575366	ANGRI
Anguillara		S08318	5	42.068133	12.304978	ANGUILLARA
Anna'		S11870				ANNA'
Annone Veneto		S02769	12	45.774904	12.680334	ANNONE VENETO
Antignano		S06727	13	43.492482	10.328827	ANTIGNANO
Antrodoco Borgo Velino		S07408	5	42.415393	13.076193	ANTRODOCO BORGO VELINO
Antrodoco Centro		S07435	5	42.409844	13.07096	ANTRODOCO CENTRO
Anversa-Villalago-Scanno		S08537	19	42.017261	13.835618	ANVERSA-VILLALAGO-SCANNO
Anzano del Parco		S01453	1	45.764965	9.202676	ANZANO DEL PARCO
Anzio		S08709	5	41.4532	12.633205	ANZIO
Anzio Colonia		S08713	5	41.459893	12.617442	ANZIO COLONIA
Anzola		S05386				ANZOLA
Aosta	Aosta	S00137	4	45.73407	7.322424	AOSTA
Aosta Istituto	Aosta	S00143	4	45.732938	7.303076	AOSTA ISTITUTO
Aosta Viale Europa	Aosta	S00146	4	45.733294	7.297371	AOSTA VIALE EUROPA
Apice S. Arcangelo Bonito		S09314	18	41.140927	14.918733	APICE S. ARCANGELO BONITO
Appiano		S08328	5	41.909342	12.43838	APPIANO
Apricena		S11024	16	41.77664	15.387809	APRICENA
Aprilia		S08705	5	41.592386	12.639126	APRILIA
Aquilonia		S09623	18	40.940252	15.541249	AQUILONIA
Aragona Caldare		S12370	14	37.381097	13.636837	ARAGONA CALDARE
Arbia		S06811	13	43.294393	11.406225	ARBIA
Arce		S08861	5	41.583695	13.571848	ARCE
Archi		S07992				ARCHI
Arcisate		S01203	1	45.858579	8.86241	ARCISATE
Arcola		S06006	2	44.118651	9.914649	ARCOLA
Arcore		S01510	1	45.623493	9.322798	ARCORE
Ardara		S12817	20	40.632139	8.818996	ARDARA
Ardenno Masino		S01427	1	46.16198	9.651374	ARDENNO MASINO
Ardore		S11853	17	38.175698	16.207311	ARDORE
